method,instance,runs,cost_mean,cost_std,runtime_mean
savings,hfvrp_n005_m03_s02,1,843.3372,0,0.0001
savings,hfvrp_n005_m03_s03,1,461.8449,0,0.0000
savings,hfvrp_n005_m03_s04,1,898.6732,0,0.0000
savings,hfvrp_n005_m03_s05,1,1052.7929,0,0.0000
savings,hfvrp_n010_m03_s01,1,1236.9282,0,0.0000
savings,hfvrp_n010_m03_s02,1,2080.4215,0,0.0000
savings,hfvrp_n010_m03_s03,1,1731.0928,0,0.0000
savings,hfvrp_n010_m03_s04,1,2140.6809,0,0.0000
savings,hfvrp_n010_m03_s05,1,1670.1448,0,0.0000
savings,hfvrp_n015_m03_s01,1,5621.8632,0,0.0001
savings,hfvrp_n015_m03_s02,1,4643.0054,0,0.0001
savings,hfvrp_n015_m03_s03,1,2022.2613,0,0.0001
savings,hfvrp_n015_m03_s04,1,9261.3009,0,0.0001
savings,hfvrp_n015_m03_s05,1,2591.8284,0,0.0001
savings,hfvrp_n020_m04_s01,1,3703.0025,0,0.0001
savings,hfvrp_n020_m04_s02,1,3890.8801,0,0.0001
savings,hfvrp_n020_m04_s03,1,6647.6071,0,0.0002
savings,hfvrp_n020_m04_s04,1,6322.2110,0,0.0002
savings,hfvrp_n020_m04_s05,1,6707.0979,0,0.0001
savings,hfvrp_n030_m06_s01,1,8657.6166,0,0.0002
savings,hfvrp_n030_m06_s02,1,9215.2453,0,0.0002
savings,hfvrp_n030_m06_s03,1,6593.4931,0,0.0003
savings,hfvrp_n030_m06_s04,1,5086.9446,0,0.0004
savings,hfvrp_n030_m06_s05,1,7262.9319,0,0.0003
savings,hfvrp_n050_m10_s01,1,19684.8692,0,0.0012
savings,hfvrp_n050_m10_s02,1,30661.6615,0,0.0019
savings,hfvrp_n050_m10_s03,1,31081.8896,0,0.0008
savings,hfvrp_n050_m10_s04,1,23833.8347,0,0.0015
savings,hfvrp_n050_m10_s05,1,22330.8610,0,0.0008
savings,hfvrp_n075_m15_s01,1,19203.7645,0,0.0047
savings,hfvrp_n075_m15_s02,1,31048.6640,0,0.0013
savings,hfvrp_n075_m15_s03,1,37554.7693,0,0.0014
savings,hfvrp_n075_m15_s04,1,27368.0344,0,0.0019
savings,hfvrp_n075_m15_s05,1,27658.5263,0,0.0013
savings,hfvrp_n100_m20_s01,1,41926.2871,0,0.0171
